CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
797133003,01/16/2009,14:50:00,,,75.0,01/16/2009,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0.0,,,,1019699.0,188374.0,,,,,40.683657114,-73.872187589,"(40.683657114, -73.872187589)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
285950602,04/10/2017,06:00:00,04/10/2017,17:00:00,104.0,04/10/2017,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1010650.0,200115.0,,,,,40.715915017,-73.904768342,"(40.715915017, -73.904768342)",PATROL BORO QUEENS NORTH,,25-44,BLACK,M
876019086,08/23/2006,01:00:00,,,104.0,08/23/2006,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1014611.0,193090.0,,,,,40.696620355,-73.890511457,"(40.696620355, -73.890511457)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,F
384684736,07/26/2017,13:15:00,07/26/2017,13:30:00,18.0,07/26/2017,361,OFF. AGNST PUB ORD SENSBLTY &,661.0,"LEWDNESS,PUBLIC",COMPLETED,MISDEMEANOR,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,,,988451.0,217993.0,45-64,WHITE HISPANIC,M,1.0,40.765024079,-73.98483595,"(40.765024079, -73.98483595)",PATROL BORO MAN SOUTH,59 ST.-COLUMBUS CIRCLE,UNKNOWN,UNKNOWN,E
712694348,07/16/2014,00:01:00,07/16/2014,23:59:00,45.0,07/23/2014,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1034489.0,238503.0,,,,,40.821176635,-73.818486818,"(40.821176635, -73.818486818)",PATROL BORO BRONX,,25-44,BLACK HISPANIC,M
173349671,06/12/2006,20:30:00,06/12/2006,20:35:00,32.0,06/13/2006,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0.0,,,,1001610.0,241367.0,,,,,40.829163304,-73.937271894,"(40.829163304, -73.937271894)",PATROL BORO MAN NORTH,,<18,BLACK,F
401904588,08/29/2011,10:00:00,,,104.0,08/30/2011,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,,OTHER,N.Y. POLICE DEPT,0.0,,,,1012367.0,193387.0,,,,,40.697442964,-73.898602681,"(40.697442964, -73.898602681)",PATROL BORO QUEENS NORTH,,,UNKNOWN,E
763723813,09/12/2012,21:45:00,09/12/2012,22:15:00,14.0,09/12/2012,126,MISCELLANEOUS PENAL LAW,760.0,"BRIBERY,PUBLIC ADMINISTRATION",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0.0,,,,984771.0,212851.0,,,,,40.750911582,-73.998121051,"(40.750911582, -73.998121051)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
523949779,07/17/2015,18:56:00,,,18.0,07/17/2015,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0.0,,,,988779.0,215430.0,18-24,BLACK HISPANIC,M,,40.757989139,-73.983653605,"(40.757989139, -73.983653605)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
919111869,03/31/2010,23:00:00,04/01/2010,05:00:00,69.0,04/01/2010,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,OTHER,N.Y. POLICE DEPT,0.0,,,,1009046.0,172840.0,,UNKNOWN,U,,40.641055984,-73.91065482,"(40.641055984, -73.91065482)",PATROL BORO BKLYN SOUTH,,18-24,BLACK,M
